title,product_type,variants,description,product link
Afro,Luggage Cover,Medium - ₹949.00,"Eco-friendly, recycled luggage covers protect 22-24"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/26g4hs8w
African,Luggage Cover sets,Small-Medium-Large - ₹2399.00,"Eco-friendly, recycled luggage covers protect 18-28"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/2btfmpjm
Afro,Luggage Cover Sets,Small-Medium-Large - ₹2399.00,"Eco-friendly, recycled luggage covers protect 18-28"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/2cm96wuw
Afro,Luggage Cover,Large - ₹899.00,"Eco-friendly, recycled luggage covers protect 26-28"" bags from dirt & scratches.  Durable, stretchy, & stylish.",https://tinyurl.com/2d8yw8e3
African,Luggage Cover,Medium - ₹949.00,"Eco-friendly, recycled luggage covers protect 22-24"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/288ehzgu
African,Luggage Cover,Large - ₹899.00,"Eco-friendly, recycled luggage covers protect 26-28"" bags.  Durable, stretchable, and stylish.",https://tinyurl.com/2abyymzg
Alexandria,Hardside Luggage,Grey & Green / Large - ₹9499.00,"Durable, large hard-shell suitcase (20kg) with TSA lock, spinner wheels, and premium interiors. 5-year shell/1-year accessory warranty.",https://tinyurl.com/24dzxo7d
African,Luggage Cover sets,Small-Medium - ₹1499.00,"Eco-friendly, recycled luggage covers protect 18-24"" suitcases from dirt & scratches.  Durable, stretchy, & stylish.",https://tinyurl.com/2bj65bqy
Afro,Luggage Cover Sets,Small-Medium - ₹1499.00,"Eco-friendly, recycled luggage covers protect 18-24"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/2dgnkepx
Abstract,Luggage Cover,Large - ₹899.00,"Eco-friendly, recycled luggage covers protect 26-28"" bags.  Durable, stretchy, and stylish.",https://tinyurl.com/2yncepzz
African,Luggage Cover sets,Medium-Large - ₹1699.00,"Eco-friendly, recycled luggage covers protect 22-28"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/27he9u9p
Abstract,Luggage Cover Sets,Medium-Large - ₹1699.00,"Eco-friendly, recycled luggage covers protect 22-28"" suitcases from dirt & damage.  Durable, stretchy, & attractive designs.",https://tinyurl.com/2aoootwx
Alexandria,Luggage Sets,Grey & Green / Medium-Large - ₹17498.00,"Durable 2-piece luggage set (medium & large) with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/27azva3x
Alexandria,Luggage Sets,Grey & Green / Small-Medium - ₹14498.00,"2-piece luggage set (20""/24"") for short trips, with TSA lock, spinner wheels, and 5-year shell warranty.",https://tinyurl.com/25p4a7yr
Afro,Luggage Cover,Small - ₹799.00,"Eco-friendly, recycled luggage covers protect 18-20"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/294m7jf3
Abstract,Luggage Cover,Medium - ₹949.00,"Eco-friendly, recycled luggage covers protect 22-24"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/2d4kqer7
Alexandria,Hardside Luggage,Grey & Green / Small - ₹6499.00,"Durable, compact hard-side suitcase (2-3 days, 8kg) with TSA lock, spinner wheels, and organized interior. 5-year shell/1-year accessory warranty (wear & tear excluded).",https://tinyurl.com/27rnrb3d
Afro,Luggage Cover Sets,Medium-Large - ₹1699.00,"Eco-friendly, recycled luggage covers protect 22-28"" suitcases from dirt & damage.  Durable, stretchy, & attractive designs.",https://tinyurl.com/27x9dt9c
African,Luggage Cover,Small - ₹799.00,"Eco-friendly, recycled luggage covers protect 18-20"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/2y67zoz5
Alexandria,Hardside Luggage,Grey & Green / Medium - ₹7999.00,"Durable medium hard-shell suitcase (15kg), TSA lock, wet pouch, spinner wheels, 5-year shell warranty.",https://tinyurl.com/2xkc3a7r
Alexandria,Hardside Luggage,Peach & Grey / Large - ₹9499.00,"Durable, large hard-shell suitcase (20kg) with TSA lock, spinner wheels, and premium interiors. 5-year shell/1-year accessory warranty.",https://tinyurl.com/23lmgcs9
Alexandria,Hardside Luggage,Green & Yellow / Medium - ₹7999.00,"Durable medium hard-shell suitcase (15kg), TSA lock, wet pouch, spinner wheels, 5-year shell warranty.",https://tinyurl.com/22ecmdpn
Alexandria,Luggage Sets,Grey & Green / Small-Medium-Large - ₹23997.00,"3-piece luggage set (20"", 24"", 28"") with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/292svxav
